time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-13T09:15:25.600Z,19.1914997,-155.4725037,36.28,1.87,md,42,208,0.03722,0.17,hv,hv61833206,2017-07-13T09:18:40.750Z,"1km SSE of Pahala, Hawaii",earthquake,0.68,0.84,0.01,4,automatic,hv,hv
2017-07-13T09:14:57.980Z,47.6853333,-120.364502,0.77,1.93,md,9,106,0.1344,0.18,uw,uw61281617,2017-07-13T09:18:15.950Z,"11km W of Entiat, Washington",earthquake,0.95,4.96,0.34,4,automatic,uw,uw
2017-07-13T09:10:38.186Z,62.9906,-149.9823,83.4,1.4,ml,,,,0.65,ak,ak16330946,2017-07-13T09:23:04.237Z,"68km SW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-07-13T08:38:13.899Z,62.242,-149.355,35.7,1.5,ml,,,,0.52,ak,ak16330912,2017-07-13T08:46:38.417Z,"27km ENE of Y, Alaska",earthquake,,3.2,,,automatic,ak,ak
2017-07-13T08:23:41.510Z,37.5003319,-118.9933319,1.37,1.66,md,23,115,0.1103,0.04,nc,nc72835611,2017-07-13T10:49:02.387Z,"16km S of Mammoth Lakes, California",earthquake,0.25,1.24,0.08,17,automatic,nc,nc
2017-07-13T08:16:47.080Z,33.4946667,-116.7931667,4.32,1.11,ml,46,34,0.08458,0.17,ci,ci37701335,2017-07-13T08:20:25.168Z,"9km NE of Aguanga, CA",earthquake,0.17,0.45,0.143,28,automatic,ci,ci
2017-07-13T08:13:42.850Z,37.5271683,-118.8866653,1.34,1.16,md,15,206,0.07765,0.03,nc,nc72835596,2017-07-13T10:08:01.131Z,"15km SSE of Mammoth Lakes, California",earthquake,0.56,1.23,0.13,13,automatic,nc,nc
2017-07-13T08:12:35.030Z,40.2061653,-121.5625,2.73,1.93,md,8,126,0.2035,0.03,nc,nc72835591,2017-07-13T09:42:02.106Z,"30km WSW of Chester, California",earthquake,0.4,6.35,0.09,7,automatic,nc,nc
2017-07-13T08:07:39.680Z,38.8201675,-122.7921677,2.6,1.05,md,10,167,0.01132,0.02,nc,nc72835586,2017-07-13T08:16:02.902Z,"5km NNW of The Geysers, California",earthquake,0.47,0.84,0.07,3,automatic,nc,nc
2017-07-13T08:02:08.705Z,64.8306,-147.3402,7.9,2,ml,,,,0.69,ak,ak16330904,2017-07-13T08:14:43.448Z,"8km N of North Pole, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-07-13T07:57:14.590Z,19.2156658,-155.4748383,36.52,2.06,md,50,91,0.03974,0.14,hv,hv61833186,2017-07-13T08:00:44.050Z,"1km NNE of Pahala, Hawaii",earthquake,0.56,0.77,0.14,18,automatic,hv,hv
2017-07-13T07:53:05.940Z,33.4928333,-116.795,4.2,1.48,ml,58,35,0.08696,0.19,ci,ci37701303,2017-07-13T07:56:57.304Z,"9km NE of Aguanga, CA",earthquake,0.18,0.51,0.139,26,automatic,ci,ci
2017-07-13T07:50:44.685Z,65.7133,-151.1697,5.6,1.4,ml,,,,0.69,ak,ak16330874,2017-07-13T07:57:29.844Z,"73km NE of Tanana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-07-13T07:50:03.670Z,33.4981667,-116.7911667,4.33,1.21,ml,29,66,0.08075,0.16,ci,ci37701295,2017-07-13T07:53:40.916Z,"9km NE of Aguanga, CA",earthquake,0.19,0.44,0.136,15,automatic,ci,ci
2017-07-13T07:49:49.460Z,33.4938333,-116.7955,4.08,1.27,ml,50,34,0.08636,0.18,ci,ci37701287,2017-07-13T08:01:15.850Z,"9km NE of Aguanga, CA",earthquake,0.17,0.48,0.149,25,automatic,ci,ci
2017-07-13T07:48:11.550Z,35.0171667,-118.9325,12.66,1.22,ml,15,104,0.1553,0.18,ci,ci37701279,2017-07-13T07:51:51.623Z,"8km N of Grapevine, CA",earthquake,0.43,1.42,0.159,16,automatic,ci,ci
2017-07-13T07:40:59.400Z,1.3232,97.1171,29.21,4.5,mb,,156,0.458,0.43,us,us20009vws,2017-07-13T08:00:21.040Z,"151km SSE of Sinabang, Indonesia",earthquake,10.2,8.7,0.118,21,reviewed,us,us
2017-07-13T07:25:01.883Z,63.5318,-149.9694,0.8,1.2,ml,,,,0.78,ak,ak16330868,2017-07-13T07:30:25.541Z,"53km WNW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-07-13T07:21:10.150Z,39.4350014,-122.1016693,2.03,1.81,md,5,155,0.4048,0.09,nc,nc72835516,2017-07-13T08:08:01.892Z,"12km SE of Willows, California",earthquake,0.75,10.48,,1,automatic,nc,nc
2017-07-13T07:15:12.885Z,59.8875,-152.2798,75.7,1.6,ml,,,,0.58,ak,ak16330865,2017-07-13T07:22:44.202Z,"28km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-07-13T06:46:05.000Z,36.0356674,-120.6023331,1.77,0.98,md,11,108,0.03344,0.06,nc,nc72835501,2017-07-13T06:55:02.714Z,"24km WSW of Coalinga, California",earthquake,0.39,1.94,0.22,4,automatic,nc,nc
2017-07-13T06:35:56.122Z,61.3112,-151.4812,80.8,1.6,ml,,,,0.54,ak,ak16330859,2017-07-13T06:40:18.358Z,"69km N of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-07-13T06:26:51.270Z,62.3313,-151.5031,13.8,1.7,ml,,,,0.7,ak,ak16330857,2017-07-13T06:31:06.835Z,"72km W of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-07-13T05:47:45.290Z,33.4648323,-116.5181656,11.04,1.17,ml,19,124,0.07629,0.16,ci,ci37701223,2017-07-13T05:49:49.425Z,"17km SE of Anza, California",earthquake,0.51,0.98,0.538,14,automatic,ci,ci
